pdf_url	origin_url
https://music.usc.edu/wp-content/uploads/2023/07/BS-Music-Industry-Req.-List-233-1.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/GCRT-Req.-Ensemble-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/GCRT-Req.-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MA-MUEM-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MPCG-Req.-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MPOR-Req.-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MPPI-Req.-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MPSG-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MPVA-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MTAL-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MUCM-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MUCO-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/MM-MUJZ-Req-List-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/10/BM-Classical-Guitar-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Classical-Guitar-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Double-Bass-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Harp-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-4-year-plan-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-Guitar-4-year-plan-EVEN-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-Guitar-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-Voice-4-year-plan-EVEN-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-Jazz-Voice-Req.-List-243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-MPCG-4-year-plan-EVEN-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-MPDB-4-year-plan-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-MPHP-4-year-plan-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2024/05/BM-MPOR-4-year-plan-20243.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
